Runde;Block;Gebot;Bietender
8;02A 3,6 GHz;2057000;Telekom
8;03A 3,6 GHz;2057000;Telekom
8;04A 3,6 GHz;2057000;Telekom
8;05A 3,6 GHz;1870000;Telefónica Deutschland
8;06A 3,6 GHz;1870000;Telefónica Deutschland
8;07A 3,6 GHz;1870000;Telefónica Deutschland
8;08A 3,6 GHz;1870000;Telefónica Deutschland
8;09A 3,6 GHz;2057000;1&1 Drillisch
8;10A 3,6 GHz;2057000;Vodafone
8;11A 3,6 GHz;2057000;Telefónica Deutschland
8;12A 3,6 GHz;1870000;Telekom
8;13A 3,6 GHz;1870000;Telekom
8;14A 3,6 GHz;1870000;Telekom
8;15A 3,6 GHz;1870000;Telekom
8;16A 3,6 GHz;1870000;Telekom
8;17A 3,6 GHz;2057000;Telefónica Deutschland
8;18A 3,6 GHz;2057000;Telefónica Deutschland
8;19A 3,6 GHz;1870000;Vodafone
8;20A 3,6 GHz;2057000;Vodafone
8;21A 3,6 GHz;2057000;Vodafone
8;22A 3,6 GHz;2057000;Vodafone
8;23A 3,6 GHz;2057000;Vodafone
8;24A 3,6 GHz;23870000;Vodafone
8;25A 3,6 GHz;23870000;Vodafone
8;26A 3,6 GHz;21700000;1&1 Drillisch
8;27A 3,6 GHz;21700000;1&1 Drillisch
8;28A 3,6 GHz;21700000;1&1 Drillisch
8;29K 3,6 GHz;23870000;Telekom
9;01A 2 GHz;6655000;Vodafone
9;02A 2 GHz;6655000;Vodafone
9;03A 2 GHz;7320000;Telekom
9;04A 2 GHz;7320000;Telekom
9;05A 2 GHz;6655000;Telekom
9;06A 2 GHz;6655000;Telefónica Deutschland
9;07A 2 GHz;27500000;Vodafone
9;08A 2 GHz;25000000;1&1 Drillisch
9;09A 2 GHz (2026);4990000;1&1 Drillisch
9;10A 2 GHz (2026);5489000;Telefónica Deutschland
9;11A 2 GHz (2026);23750000;1&1 Drillisch
9;12A 2 GHz (2026);26125000;Vodafone
9;01K 3,6 GHz;Kein Gebot;Kein Gebot
9;02A 3,6 GHz;2057000;Telekom
9;03A 3,6 GHz;2057000;Telekom
9;04A 3,6 GHz;2057000;Telekom
9;05A 3,6 GHz;2057000;Vodafone
9;06A 3,6 GHz;1870000;Telefónica Deutschland
9;07A 3,6 GHz;1870000;Telefónica Deutschland
9;08A 3,6 GHz;2057000;1&1 Drillisch
9;09A 3,6 GHz;2057000;1&1 Drillisch
9;10A 3,6 GHz;2057000;Vodafone
9;11A 3,6 GHz;2057000;Telefónica Deutschland
9;12A 3,6 GHz;1870000;Telekom
9;13A 3,6 GHz;1870000;Telekom
9;14A 3,6 GHz;1870000;Telekom
9;15A 3,6 GHz;1870000;Telekom
9;16A 3,6 GHz;2057000;Telefónica Deutschland
9;17A 3,6 GHz;2057000;Telefónica Deutschland
9;18A 3,6 GHz;2057000;Telefónica Deutschland
9;19A 3,6 GHz;2057000;1&1 Drillisch
9;20A 3,6 GHz;2057000;Vodafone
9;21A 3,6 GHz;2057000;Vodafone
9;22A 3,6 GHz;2057000;Vodafone
9;23A 3,6 GHz;2057000;Vodafone
9;24A 3,6 GHz;23870000;Vodafone
9;25A 3,6 GHz;23870000;Vodafone
